time_s,omega_1_rad_s,omega_2_rad_s,omega_3_rad_s,psi_rad,epsilon_rad,theta_rad,moon_x_inertial_m,moon_y_inertial_m,moon_z_inertial_m,moon_x_body_m,moon_y_body_m,moon_z_body_m,normalized_torque_1_s-2,normalized_torque_2_s-2,normalized_torque_3_s-2,omega_dot_1_s-2,omega_dot_2_s-2,omega_dot_3_s-2,rotation_axis_body_x,rotation_axis_body_y,rotation_axis_body_z,figure_axis_body_x,figure_axis_body_y,figure_axis_body_z
2.293200000000000000e+06,6.284155859278294070e-11,3.770730801599274395e-11,7.292115146699999588e-05,-1.807702031502679419e-05,4.101532936890800451e-01,1.672228011219265227e+02,3.739041816976837516e+08,-6.779131883202651143e+07,0.000000000000000000e+00,-2.421039940665774643e+08,2.911576130641994476e+08,-3.182609639538807794e+07,-5.668982697966699851e-17,-4.713884480051124446e-17,-0.000000000000000000e+00,-6.575179725433953649e-17,-3.203651143477842587e-17,-0.000000000000000000e+00,8.617740851389292475e-07,5.170969911663820285e-07,9.999999999994950706e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.296800000000000000e+06,6.259166809363872635e-11,3.762295163083710529e-11,7.292115146699999588e-05,-1.742914819947705547e-05,4.101533408239569911e-01,1.674853166730703151e+02,3.745365927255552411e+08,-6.420545700741950423e+07,0.000000000000000000e+00,-1.612338865502747893e+08,3.427755173701246977e+08,-3.014263624065556005e+07,-6.320983182903017976e-17,-2.973248186503085168e-17,-0.000000000000000000e+00,-7.225152924162424111e-17,-1.469020317820026335e-17,-0.000000000000000000e+00,8.583472262081983715e-07,5.159401747494932344e-07,9.999999999994986233e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.300400000000000000e+06,6.232721849441468243e-11,3.760170814421695120e-11,7.292115146699999588e-05,-1.677510694566459540e-05,4.101533190601468482e-01,1.677478322185566242e+02,3.751346149947025180e+08,-6.061370004195661843e+07,0.000000000000000000e+00,-6.995132552977263927e+07,3.724205215516009331e+08,-2.845640848493259028e+07,-6.483466895886176694e-17,-1.217782257288418004e-17,-0.000000000000000000e+00,-7.387126105223757540e-17,2.800902534192027882e-18,-0.000000000000000000e+00,8.547207118992000172e-07,5.156488534223795007e-07,9.999999999995017319e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.304000000000000000e+06,6.206522724520561079e-11,3.764174559982395100e-11,7.292115146699999588e-05,-1.615996788933370573e-05,4.101532301413441384e-01,1.680103477997185735e+02,3.756981935966231227e+08,-5.701637771933878213e+07,0.000000000000000000e+00,2.588623133108064905e+07,3.781711257266919017e+08,-2.676756795228862390e+07,-6.192854657764456932e-17,4.239077427252031797e-18,0.000000000000000000e+00,-7.097476063163422485e-17,1.915483975502959474e-17,0.000000000000000000e+00,8.511279100311804616e-07,5.161979047579882350e-07,9.999999999995045075e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.307600000000000000e+06,6.182081350178954770e-11,3.773694401184397635e-11,7.292115146699999588e-05,-1.562610918473377665e-05,4.101530804292480847e-01,1.682728634554194684e+02,3.762272767853220701e+08,-5.341382033426030725e+07,0.000000000000000000e+00,1.201238416673983932e+08,3.596407142700380087e+08,-2.507626970668997988e+07,-5.517284653143993050e-17,1.842832031555252058e-17,0.000000000000000000e+00,-6.424193904653733111e-17,3.328534416015280887e-17,0.000000000000000000e+00,8.477761562738854209e-07,5.175034026842400714e-07,9.999999999995067279e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.311200000000000000e+06,6.160619025026707977e-11,3.787773777509213334e-11,7.292115146699999588e-05,-1.521029365058085488e-05,4.101528804647249782e-01,1.685353792193729419e+02,3.767218159820638299e+08,-4.980635866208264232e+07,0.000000000000000000e+00,2.067048840710279047e+08,3.180036818809702992e+08,-2.338266903776252642e+07,-4.549040865672628316e-17,2.956912194259403044e-17,0.000000000000000000e+00,-5.459333728913211204e-17,4.437456667354543921e-17,0.000000000000000000e+00,8.448329327069975133e-07,5.194341698267728939e-07,9.999999999995082822e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.314800000000000000e+06,6.142995798321167452e-11,3.805217526152525047e-11,7.292115146699999588e-05,-1.494113387174576394e-05,4.101526442407449347e-01,1.687978951178185127e+02,3.771817657798323631e+08,-4.619432392846225947e+07,0.000000000000000000e+00,2.800608662596851587e+08,2.559210593680142760e+08,-2.168692144653284922e+07,-3.395451555169791930e-17,3.715728225851886584e-17,0.000000000000000000e+00,-4.309936569481395327e-17,5.192037414994067842e-17,0.000000000000000000e+00,8.424161816888101697e-07,5.218263082245326145e-07,9.999999999995089484e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.318400000000000000e+06,6.129674079049462529e-11,3.824709850283366795e-11,7.292115146699999588e-05,-1.483711938036098448e-05,4.101523882372339891e-01,1.690604111677121750e+02,3.776070839474999309e+08,-4.257804777894060314e+07,0.000000000000000000e+00,3.354701084263626933e+08,1.773703439984907508e+08,-1.998918263115157187e+07,-2.169050440878308175e-17,4.102442213168891462e-17,0.000000000000000000e+00,-3.088219928072013378e-17,5.575549873737446828e-17,0.000000000000000000e+00,8.405893154087671303e-07,5.244993768388774803e-07,9.999999999995091704e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.322000000000000000e+06,6.120717647977539173e-11,3.844934017110594864e-11,7.292115146699999588e-05,-1.490534198515041059e-05,4.101521302844028383e-01,1.693229273755576116e+02,3.779977314337052107e+08,-3.895786224849208444e+07,0.000000000000000000e+00,3.693621587025143504e+08,8.739042247602257133e+07,-1.828960847259703651e+07,-9.778266169255571692e-18,4.132857352457536877e-17,0.000000000000000000e+00,-1.901856456349674031e-17,5.603812567879212852e-17,0.000000000000000000e+00,8.393610804053779183e-07,5.272728062788074032e-07,9.999999999995088373e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.325600000000000000e+06,6.115824308507542163e-11,3.864683777311595203e-11,7.292115146699999588e-05,-1.514100717707377281e-05,4.101518883329450804e-01,1.695854437369579841e+02,3.783536723704384565e+08,-3.533409973103804886e+07,0.000000000000000000e+00,3.795482779217043519e+08,-8.242038848921030760e+06,-1.658835502036295645e+07,8.364338228127617549e-19,3.851801997822559681e-17,-0.000000000000000000e+00,-8.451327980854895161e-18,5.321581226435466362e-17,-0.000000000000000000e+00,8.386900351226913153e-07,5.299811782399830918e-07,9.999999999995078381e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
